City_ID,City,Country,Max Temp,Weather Descp,Lat,Lng,Hotel Name
320,Matara,LK,79.03,broken clouds,5.95,80.54,Amaloh Boutique Resort
321,Cartagena,CO,87.8,scattered clouds,10.4,-75.51,Costa Del Sol
322,Jiwani,PK,77.11,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
323,Morgan City,US,88.0,overcast clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
324,Huarmey,PE,70.83,scattered clouds,-10.07,-78.15,Hotel Miramar
328,Howard Springs,AU,79.0,broken clouds,-12.5,131.05,buffalo beach hostel
329,Porbandar,IN,82.65,scattered clouds,21.64,69.61,Lords Inn Porbandar
330,Manta,EC,77.0,scattered clouds,-0.95,-80.73,Balandra Hotel
331,Camabatela,AO,65.25,light rain,-8.19,15.38,Pensão E Restaurantes
332,Havre-Saint-Pierre,CA,42.8,overcast clouds,50.23,-63.6,Auberge Niapiskau
335,Namibe,AO,71.13,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
336,Bridlington,GB,51.8,scattered clouds,54.08,-0.19,Expanse Bridlington Seafront Hotel
338,Lerwick,GB,42.8,scattered clouds,60.15,-1.15,The Lerwick Hotel
339,Broken Hill,AU,68.0,overcast clouds,-31.95,141.43,Daydream Motel & Cottages
340,Hirara,JP,74.26,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
341,Boyolangu,ID,76.41,scattered clouds,-8.12,111.89,Yos ega cv
342,Kununurra,AU,82.4,scattered clouds,-15.77,128.73,Hotel Kununurra
344,Mahibadhoo,MV,82.49,light rain,3.78,72.97,Omadhoo Inn
345,Palmer,US,73.99,few clouds,42.16,-72.33,Wedgewood Motel
346,Payo,ID,74.03,light rain,-3.75,103.64,Mess keban agung
347,Luanda,AO,78.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
348,Bibiani,GH,78.69,light rain,6.46,-2.32,Rodick Hotel
349,Ruteng,ID,63.81,scattered clouds,-8.61,120.47,Hotel FX72 Ruteng
350,Roma,US,60.8,light rain,43.21,-75.46,Wingate By Wyndham Rome
352,Alice,US,86.0,few clouds,27.75,-98.07,Holiday Inn Express & Suites Alice
356,Linxia,CN,45.37,clear sky,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
357,Topchanchi,IN,74.3,scattered clouds,23.9,86.2,SHAAN-E-PUNJAB HOTEL
358,Bahia Blanca,AR,69.75,broken clouds,-38.72,-62.27,Hotel Argos
359,Sambava,MG,75.2,scattered clouds,-14.27,50.17,Melrose
362,Waitati,NZ,50.0,overcast clouds,-45.75,170.57,Arden Country House Dunedin
363,Abnub,EG,86.0,clear sky,27.27,31.15,مسجد الخطبة
364,Buraydah,SA,78.8,clear sky,26.33,43.98,Mövenpick Hotel Qassim
365,Kisangani,CD,72.5,overcast clouds,0.52,25.2,Grand Ramela Hotel
366,Geraldton,AU,53.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
368,Astoria,US,50.0,fog,46.19,-123.83,Best Western Astoria Bayfront Hotel
369,Douglas,US,48.2,drizzle,41.3,-96.17,Hilton Garden Inn Omaha West
370,Youghal,IE,50.0,broken clouds,51.95,-7.85,Quality Hotel and Leisure Centre Youghal
373,Manavalakurichi,IN,80.6,mist,8.13,77.3,Udaya Boys Hostel
374,Isangel,VU,75.94,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
